1,鸡蛋,1
2,烤肠,3
3,油条,0.8
4,水煎包,0.5
5,牛肉饼,5
6,菜盒,1.3
7,油饼,1
8,煎饼果子,3.5
9,肉卷,2.5
10,菜盒(外),3
11,包子(外),1.5
12,手抓饼,2.5
